Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10687818,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10692269,00000521,false,Rx,0,6,00,0E,00,00,02,68,00,00,
10697640,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10703275,00000523,false,Rx,0,6,02,00,00,04,7A,20,00,00,
10704293,00000524,false,Rx,0,6,03,00,00,00,00,00,00,00,
10707643,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10707820,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10710800,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
10711056,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
10712306,00000521,false,Rx,0,6,00,0F,00,00,02,70,00,00,
10717205,0000039D,false,Rx,0,5,24,5B,01,28,00,00,00,00,
10717644,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10725181,00000522,false,Rx,0,6,01,00,00,04,7A,43,00,00,
10727649,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10727899,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
10728145,0000003F,false,Rx,0,8,00,00,00,C0,00,C0,64,C0,
10728368,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
10728551,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10728786,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
10729040,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
10729264,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
10732176,00000521,false,Rx,0,6,00,00,00,00,02,76,00,00,
10737664,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10747669,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10747846,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10752256,00000521,false,Rx,0,6,00,01,00,00,02,5A,00,00,
