Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
133444448,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133447888,00000521,false,Rx,0,6,00,09,00,00,02,BD,00,00,
133454272,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133459612,00000100,false,Rx,0,8,01,00,00,00,8E,08,5C,12,
133459862,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
133462235,00000523,false,Rx,0,6,02,09,00,04,63,73,00,00,
133462448,00000524,false,Rx,0,6,03,09,00,00,00,0E,00,00,
133462682,0000039D,false,Rx,0,5,1B,52,01,28,00,00,00,00,
133464270,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133464452,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133468214,00000521,false,Rx,0,6,00,0A,00,00,02,D4,00,00,
133474272,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133484280,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133484520,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
133484765,0000003F,false,Rx,0,8,00,00,00,C0,00,C0,64,C0,
133485000,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
133485172,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133485416,000002F1,false,Rx,0,8,36,10,7D,00,00,00,00,A0,
133485671,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
133485895,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
133487807,00000521,false,Rx,0,6,00,0B,00,00,02,D2,00,00,
133493460,1801D08F,true,Rx,0,8,00,8C,00,6D,03,00,00,44,
133494289,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133498872,00000522,false,Rx,0,6,01,09,00,04,63,48,00,00,
133502640,0000039D,false,Rx,0,5,1C,53,01,28,00,00,00,00,
133504286,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133504468,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133507875,00000521,false,Rx,0,6,00,0C,00,00,02,BA,00,00,
133514292,00000112,false,Rx,0,8,FA,1F,3B,0B,40,01,65,47,
