Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
31020109,00000523,false,Rx,0,6,02,01,00,04,7A,29,00,00,
31021127,00000524,false,Rx,0,6,03,01,00,00,00,18,00,00,
31027748,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31027927,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31029136,00000521,false,Rx,0,6,00,02,00,00,02,6C,00,00,
31037748,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31038031,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
31040801,0000039D,false,Rx,0,5,26,5D,01,28,00,00,00,00,
31042018,00000522,false,Rx,0,6,01,01,00,04,7A,0B,00,00,
31047759,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31048001,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
31048245,0000003F,false,Rx,0,8,00,00,00,40,00,40,64,6B,
31048480,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
31048653,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31048897,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
31049141,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
31049366,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
31049569,00000521,false,Rx,0,6,00,03,00,00,02,78,00,00,
31055872,00000351,false,Rx,0,8,20,0D,C8,00,DC,05,D3,0A,
31056102,00000355,false,Rx,0,8,27,00,64,00,86,01,00,00,
31056348,00000356,false,Rx,0,8,A6,72,FA,FF,E1,00,00,00,
31057768,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31058234,0000035A,false,Rx,0,8,00,00,00,00,00,00,00,00,
31058457,0000035E,false,Rx,0,8,53,49,4D,50,20,42,4D,53,
31060214,00000370,false,Rx,0,8,53,49,4D,50,20,45,43,4F,
31062228,00000373,false,Rx,0,8,8F,0D,AA,0D,27,01,28,01,
31064254,00000379,false,Rx,0,8,D2,00,00,00,01,00,00,00,
31066258,00000372,false,Rx,0,8,0E,00,00,00,00,00,00,00,
31067773,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31067955,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31069018,00000521,false,Rx,0,6,00,04,00,00,02,4F,00,00,
31075238,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
31075491,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
31077768,00000112,false,Rx,0,8,FB,1F,75,0B,86,01,65,49,
31080098,00000523,false,Rx,0,6,02,02,00,04,7A,39,00,00,
31080793,0000039D,false,Rx,0,5,27,5E,01,28,00,00,00,00,
31081112,00000524,false,Rx,0,6,03,02,00,00,00,3B,00,00,
31087773,00000112,false,Rx,0,8,FB,1F,75,0B,86,01,65,49,
31087961,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31089139,00000521,false,Rx,0,6,00,05,00,00,02,85,00,00,
31090894,0000035D,false,Rx,0,8,00,00,00,00,00,00,00,00,
31097780,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31102010,00000522,false,Rx,0,6,01,02,00,04,7A,30,00,00,
31107784,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31107961,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31109003,00000521,false,Rx,0,6,00,06,00,00,02,69,00,00,
31117783,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31120854,0000039D,false,Rx,0,5,28,5F,01,28,00,00,00,00,
31127787,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31127975,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31129079,00000521,false,Rx,0,6,00,07,00,00,02,75,00,00,
31137794,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31138076,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
31140091,00000523,false,Rx,0,6,02,03,00,04,7A,43,00,00,
31141102,00000524,false,Rx,0,6,03,03,00,00,00,00,00,00,
31147790,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31148041,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
31148223,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31148479,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
31148703,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
31148936,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
31149181,0000003F,false,Rx,0,8,00,00,00,80,00,80,64,CE,
31149426,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
31149661,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
31149885,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
31150141,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
31150385,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
31150589,00000521,false,Rx,0,6,00,08,00,00,02,63,00,00,
31150834,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
31157815,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31160812,0000039D,false,Rx,0,5,19,50,01,28,00,00,00,00,
31161996,00000522,false,Rx,0,6,01,03,00,04,7A,15,00,00,
31167818,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31168006,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31169079,00000521,false,Rx,0,6,00,09,00,00,02,80,00,00,
31175217,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
31175471,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
31177821,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31181551,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
31187829,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31188006,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31189069,00000521,false,Rx,0,6,00,0A,00,00,02,76,00,00,
31197826,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31200073,00000523,false,Rx,0,6,02,04,00,04,7A,3B,00,00,
31200829,0000039D,false,Rx,0,5,1A,51,01,28,00,00,00,00,
31201094,00000524,false,Rx,0,6,03,04,FF,FF,FF,E8,00,00,
31201592,00000272,false,Rx,0,8,8C,F5,71,11,FF,FF,FF,FF,
31207829,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31208017,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31209112,00000521,false,Rx,0,6,00,0B,00,00,02,83,00,00,
31217836,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31222066,00000522,false,Rx,0,6,01,04,00,04,7A,05,00,00,
31227839,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31228016,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31228974,00000521,false,Rx,0,6,00,0C,00,00,02,81,00,00,
31231632,000003C3,false,Rx,0,8,86,18,09,92,24,29,92,24,
31237847,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31238129,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
31240785,0000039D,false,Rx,0,5,1B,52,01,28,00,00,00,00,
31247839,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31248090,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
31248335,0000003F,false,Rx,0,8,00,00,00,C0,00,C0,64,C0,
31248561,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
31248742,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31248986,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
31249232,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
31249455,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
31249660,00000521,false,Rx,0,6,00,0D,00,00,02,7A,00,00,
31257852,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31260057,00000523,false,Rx,0,6,02,05,00,04,7A,27,00,00,
31261084,00000524,false,Rx,0,6,03,05,00,00,00,04,00,00,
31267864,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31268042,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31269096,00000521,false,Rx,0,6,00,0E,00,00,02,67,00,00,
31275203,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
31275464,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
31277858,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
31280766,0000039D,false,Rx,0,5,1C,53,01,28,00,00,00,00,
31282044,00000522,false,Rx,0,6,01,05,00,04,7A,28,00,00,
31287862,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31288050,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31289041,00000521,false,Rx,0,6,00,0F,00,00,02,6E,00,00,
31297870,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31307875,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31308053,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31309054,00000521,false,Rx,0,6,00,00,00,00,02,7A,00,00,
31317872,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31320046,00000523,false,Rx,0,6,02,06,00,04,7A,20,00,00,
31320843,0000039D,false,Rx,0,5,1D,54,01,28,00,00,00,00,
31321066,00000524,false,Rx,0,6,03,06,FF,FF,FF,EC,00,00,
31327882,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31328060,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31329092,00000521,false,Rx,0,6,00,01,00,00,02,65,00,00,
31337912,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
31338143,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31342037,00000522,false,Rx,0,6,01,06,00,04,7A,2A,00,00,
31347883,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31348135,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
31348317,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31348562,000002FA,false,Rx,0,8,FD,FF,05,FF,FF,FF,FF,FF,
31348785,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
31349031,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
31349275,0000003F,false,Rx,0,8,00,00,00,00,00,00,64,65,
31349521,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
31349745,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
31349980,00000432,false,Rx,0,8,2C,E2,10,A3,4E,FF,02,FF,
31350224,00000510,false,Rx,0,8,40,10,20,00,00,00,00,00,
31350471,0000051A,false,Rx,0,8,00,00,00,00,50,00,00,1A,
31350673,00000521,false,Rx,0,6,00,02,00,00,02,71,00,00,
31350917,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
31357906,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31360829,0000039D,false,Rx,0,5,1E,55,01,28,00,00,00,00,
31367912,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31368091,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31369049,00000521,false,Rx,0,6,00,03,00,00,02,6F,00,00,
31375207,00000100,false,Rx,0,8,01,00,00,00,3D,09,75,12,
31375458,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
31377914,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31380034,00000523,false,Rx,0,6,02,07,00,04,7A,5C,00,00,
31381055,00000524,false,Rx,0,6,03,07,FF,FF,FF,FE,00,00,
31381895,000003B4,false,Rx,0,8,00,FF,30,F0,B8,FF,00,00,
31387914,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31388093,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31389082,00000521,false,Rx,0,6,00,04,00,00,02,6F,00,00,
31397923,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31400783,0000039D,false,Rx,0,5,1F,56,01,28,00,00,00,00,
31402031,00000522,false,Rx,0,6,01,07,00,04,7A,20,00,00,
31402264,00000272,false,Rx,0,8,6B,F6,71,11,FF,FF,FF,FF,
31407920,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31408099,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31409036,00000521,false,Rx,0,6,00,05,00,00,02,78,00,00,
31417928,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31420862,0000035D,false,Rx,0,8,01,00,00,00,00,00,00,00,
31427922,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31428111,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31429038,00000521,false,Rx,0,6,00,06,00,00,02,6F,00,00,
31437898,1801D08F,true,Rx,0,8,00,8C,00,5F,03,00,00,47,
31438129,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31440039,00000523,false,Rx,0,6,02,08,00,04,7A,48,00,00,
31440778,0000039D,false,Rx,0,5,20,57,01,28,00,00,00,00,
31441054,00000524,false,Rx,0,6,03,08,00,00,00,14,00,00,
31447932,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
31448184,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
31448429,0000003F,false,Rx,0,8,00,00,00,40,00,40,64,6B,
31448653,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
31448836,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
31449069,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
31449314,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
31449539,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
31449742,00000521,false,Rx,0,6,00,07,00,00,02,75,00,00,
